"TOKEN";"REFTEXT"
"AANYVFLPTZ";"SACLOS"
"AAR_AL";"The attacker was lucky"
"AAR_AVL";"The attacker was very lucky"
"AAR_DL";"The defender was lucky"
"AAR_DVL";"The defender was very lucky"
"AAR_HL";"The air force was lucky"
"AMMOB_STD";"%1"
"AR_ADC";"Combat advantage"
"AR_ADCBT";"%1"
"AR_ATQ";"Attacker"
"AR_DDL";"Losses"
"AR_DEF";"Defender"
"AR_RATIO";"%1: 1"
"AR_Result";"%1"
"AR_TITLE";"Combat Results"
"AR_combaab";"These combat modifiers are based on the availability of specific forces, combined arms, or simply luck."
"AR_combaat";"Combat advantage"
"AR_finalcb";"Final value after applying all modifiers. This determines the combat's result, including Fatigue and losses sustained."
"AR_finalct";"Final Combat Result"
"AR_forcrab";"Ratio based on attacker and defender values, including terrain bonus."
"AR_forcrat";"Force Ratio"
"AR_outcomt";"Outcome"
"AR_ovstreb";"This is the sum of the attacking or defending forces. This value is obtained by adding up all the battalions and squadrons involved in combat."
"AR_ovstret";"Overall strength value"
"AttStre";"ATTACK STRENGTH"
"BATGR_BTN";"BATTLEGROUPS"
"BFSZZVXMDT";"The weapon can be used in close combat situations."
"BPNVWTJFTS";"Manual guidance"
"BP_ENM";"Enemy's supposed strength"
"BP_OUTCOM";"Probable outcome"
"BP_PLR";"Player's strength"
"BTL_SHOCAN";"Cancel attack"
"BTN_HIDEPa";"Hide Panel"
"BTN_HIDEUI";"Hide HUD"
"BYJNUVZTLL";"This missile has Overflight Top Attack (OTA) capability: it detects the height profile and the large metal mass of its target, detonating the warheads exactly above it.
OTA missile always aims at its target's top armor, usually its weakest. It is devastating against top armor of 2 or less, but can't defeat top armor 3 in one hit."
"BatPlan";"BATTLE PLAN"
"BtnAutoRes";"AUTORESOLVE"
"BtnBattle";"TACTICAL BATTLE"
"BtnBattleH";"Launch Tactical Battle"
"BtnCanPreH";"Cancel Preparation"
"BtnCanPrep";"CANCEL"
"BtnEndBttl";"OK"
"BtnMapOv";"DISPLAY MAP"
"BtnMapOvH";"Display a preview of the upcoming battlefield."
"BtnValPlaH";"Validate the choice of battle. Select your units for combat."
"BtnValPlan";"Prepare attack"
"CAH_AA";"No air defense: This side has no anti-aircraft units, while the other side has aircraft or helicopter support."
"CAH_AT";"No anti-tank: This side has no anti-tank units, while the other side has tanks."
"CAH_CMD";"No command unit: One of the opponents has no command unit."
"CAH_DCA";"Anti-Aircraft Unit deployed"
"CAH_HT";"No heavy tanks: This side has no heavy tanks, while the other side does."
"CAH_INF";"No infantry: This side has no infantry unit."
"CAH_RECO";"no recon unit"
"CAH_airsup";"No air support: This side has no air support, while the other does."
"CAH_helosu";"No helicopter support: This side has no helicopters, while the other side does."
"CAH_intAA";"no interceptor"
"CAH_supply";"No supply unit: One of the opponents has no supply unit."
"CASU_BTN";"Casualties"
"CA_AA";"No air defense unit"
"CA_AT";"No anti-tank unit"
"CA_CMD";"No command unit"
"CA_DCA";"Anti-Aircraft deployed"
"CA_HELO";"No helicopter support"
"CA_HT";"No heavy tanks"
"CA_INF";"No infantry"
"CA_RECO";"No recon unit"
"CA_airsup";"No air support"
"CA_cbt";"COMBAT"
"CA_intAA";"No interceptor"
"CA_mvt";"MOVEMENT"
"CA_spe";"SPECIAL"
"CA_supply";"No supply unit"
"CFNPWFOSTI";"Semi-Automatic Command Line-Of-Sight.
"
"CHAT_MINUS";"-"
"CHAT_PLUS";"+"
"CMP_IMPOS";"IMPOSSIBLE"
"CPT_CLOSE";"CLOSE"
"CSQTOTH90";"Our men are about to collapse. We must restore the situation now."
"CUR_ASSAUL";"Prepare an attack!"
"CUR_Atth";"You have clicked on an enemy battalion. At least one of your battalions can engage this enemy."
"CVSHZKRIKC";"Overflight Top Attack"
"C_ALL";"ALL"
"C_CLEARH";"CLEAR SCREEN"
