"TOKEN";"REFTEXT"
"AB_ARMORY";"무기고"
"AB_AUTOSET";"자동 설정"
"AB_CHGN";"닉네임 변경"
"AB_CONTINU";"계속"
"AB_CREDITS";"제작진"
"AB_DCKCOPY";"복사"
"AB_DCKEDIT";"편집"
"AB_DCKEXPO";"내보내기"
"AB_DCKIMPO";"가져오기"
"AB_DCKREMO";"삭제"
"AB_DCKRENA";"이름 변경"
"AB_DCKVIEW";"보기"
"AB_GAMJOIC";"초대 코드 사용"
"AB_GAMJOIN";"참가"
"AB_GAMOBS";"관전"
"AB_GLREFR";"새로고침"
"AB_GLREJO";"로비로 돌아가기"
"AB_GUIDE";"#blue{매뉴얼}"
"AB_HELP";"도움말"
"AB_LAUNCH";"시작"
"AB_LOADGAM";"게임 불러오기"
"AB_LOADING";"불러오기"
"AB_MODAPPL";"적용"
"AB_MODBROW";"둘러보기"
"AB_MODCENT";"모드 센터"
"AB_MODREFR";"새로고침"
"AB_MODREVE";"되돌리기"
"AB_MULTI";"멀티플레이"
"AB_NSAVE";"새 저장"
"AB_OPAPPLY";"적용"
"AB_OPAUDIO";"오디오"
"AB_OPCANCL";"취소"
"AB_OPCONTR";"조작"
"AB_OPDEFAU";"기본값"
"AB_OPGPLAY";"게임플레이"
"AB_OPGUI";"인터페이스"
"AB_OPTIONS";"옵션"
"AB_OPVID";"비디오"
"AB_PRIVPOL";"개인정보 보호정책"
"AB_QUIT";"종료"
"AB_QUITGAM";"나가기"
"AB_RESTART";"다시 시작"
"AB_SAVE";"저장"
"AB_SAVEDIS";"작업 진행 중"
"AB_SAVEGAM";"게임 저장"
"AB_SAVER";"리플레이 저장"
"AB_SOLO";"싱글플레이"
"ADDIA";"AI 추가"
"ALLCHAN";"[ #cyan{%1} 채널로 ]"
"ARADDU";"+"
"ARM_HHUD";"HUD 숨기기"
"ARM_MOV";"기동"
"ARM_NBU";"유닛: %1"
"ARM_ROL";"역할"
"ARRMVU";"×"
"AllCntr";"모든 국가"
"AllDiv";"모든 사단"
"Ask_INVITC";"친구가 공유한 초대 코드를 입력하십시오"
"Auto_Dck";"선택된 전투단:"
"Auto_Prm";"목록에 사전 제작 전투단 포함"
"Auto_Rck";"현재 계급:"
"BTFPLYNB";"[%1P]"
"BTN_ACCEPT";"수락"
"BTN_BACK";"뒤로"
"BTN_CANCEL";"취소"
"BTN_CHANGE";"변경"
"BTN_CLOSE";"닫기"
"BTN_CONFIR";"확인"
"BTN_CONNEC";"연결"
"BTN_CPYCOD";"코드 복사"
"BTN_CREATE";"생성"
"BTN_FILCAP";"필터"
"BTN_LINK";"연결"
"BTN_NEXT";"다음"
"BTN_OK";"OK"
"BTN_RETRY";"다시 시도"
"BTN_smail";"이메일 보내기"
"Birthdate";"생년월일"
"CATEGNB";"[%1]"
"CB_CREATE";"생성"
"CB_INVCOD";"초대 코드"
"CLS_LAUNCH";"시작"
"CL_DEFVAL";"-"
"CL_DIFF";"%1"
"CL_DOWNLO";"다운로드"
"CL_GAMLVL";"필요 레벨"
"CL_GAMMAP";"맵"
"CL_GAMMODE";"모드"
"CL_GAMNAME";"게임 이름"
"CL_GAMPLNB";"플레이어"
"CL_GAMRUL";"규칙"
"CL_GAMSTS";"상태"
"CL_MOD";"모드"
"CL_counb";"작전에서 주로 플레이하는 국가를 표시합니다."
"CL_durab";"작전의 평균 소요 시간을 표시합니다.

짧음: 15~20분
보통: 25~35분
김: 40분 이상"
"CL_nameb";"작전의 이름을 표시합니다."
"CL_statb";"해당 작전을 성공적으로 완료한 최고 난이도를 표시합니다."
"CONERROR";"연결 오류"
"CP_CHGPASS";"비밀번호 변경"
"CP_FIRSTCO";"생성"
"CreAcc_Nw";"Eugen Systems 뉴스레터 수신에 동의합니다"
"CtrBEL";"벨기에"
"CtrCAN";"캐나다"
"CtrDDR";"동독"
"CtrDK";"덴마크"
"CtrESP";"스페인"
"CtrFR";"프랑스"
"CtrLUX";"룩셈부르크"
"CtrNL";"네덜란드"
"CtrPOL";"폴란드"
"CtrRFA";"서독"
"CtrSOV";"소련"
"CtrTCH";"체코슬로바키아"
"CtrUK";"영국"
"CtrUS";"미국"
"DB_ALLIA";"진영"
"DB_EMBLEM";"휘장"
"DB_FLAG";"국가"
"DB_NAME";"이름"
"DB_UTYPE";"유형"
"DCKO_ACTIV";"활성화 점수"
"DCKO_FMT";"%1/%2"
"DCKO_FMTC";"%1"
"DCKO_FMTM";"/%1"
"DCKO_FMTT";"+%1"
"DCKO_UNIT";"유닛:"
"DC_DCKNAM";"전투단 이름"
"DECKACTPOB";"사용한 활성화 점수와 최대 사용 가능 점수를 표시합니다."
"DECKACTPOE";"전투단의 슬롯 하나를 채우려면 활성화 점수 1점이 필요합니다. 활성화 점수를 모두 사용하면 빈 슬롯이 남아 있어도 전투단에 유닛을 더 추가할 수 없습니다."
"DECKACTPOT";"활성화 점수"
"DIVFORMAT";"%1/%2"
"DIVSEL_DLC";"#green{*%1 DLC*}"
"DIV_HIST";"역사"
"DIV_RESET";"필터 초기화"
"DIV_SUMM";"게임플레이"
"DIV_unit";"주요 유닛"
"DI_DCKCOP";"전투단이 클립보드에 복사되었습니다"
"DI_DCKEXPO";"전투단 내보내기"
"DI_DCKIMPO";"전투단 가져오기"
"DLC";"DLC"
"DLC_USE";"다운로드 콘텐츠 또는 확장팩의 설정이나 옵션을 사용하려고 합니다. 이 콘텐츠를 보유하지 않은 플레이어는 모두 게임에서 퇴장됩니다.

계속하시겠습니까?"
"DLS_DIVIS";"사단"
"DLS_DNAME";"전투단 이름"
"DS_SELECT";"선택"
"EG_BASEXP";"기본 XP 합계"
"EG_CONQUES";"정복 보너스"
"EG_ELAPSED";"경과 시간:"
"EG_GAMEM";"게임 보정치"
"EG_KILLS";"격파"
"EG_KILLSB";"격파 보너스"
"EG_LOSSES";"손실"
"EG_LOSSESB";"손실 보너스"
"EG_Level";"레벨: %1"
"EG_MHIST";"시간순 기록"
"EG_MKILLS";"격파"
"EG_MLOSSES";"손실"
"EG_MODIF";"보정치"
"EG_MPLAY";"플레이어"
"EG_SBTE";"%1"
"EG_SBTS";"%1 %2"
"EG_SBTT";"팀별 점수"
"EG_TFSCon";"결과:"
"EG_TIME";"시간"
"EG_TOTGXP";"게임 XP 합계"
"EG_TOTXP";"총 XP"
"EG_UPCDT";"소요 시간"
"EG_UPCDX";"작전 XP"
"EG_UPCVN";"작전 성공"
"EG_UPDPRC";"프로필 갱신(공통)"
"EG_UPDPRS";"프로필 갱신(%1)"
"EG_UPRA";"분당 명령 수"
"EG_UPRB";"최고의 영웅(최다 격파)"
"EG_UPRC";"격파 기여도"
"EG_UPRR";"격파 비율"
"EG_UPRU";"최다 배치 유닛"
"EG_UPSDG";"스커미시 총 게임 수"
"EG_UPSDT";"플레이 시간"
"EG_UPSDX";"스커미시 XP"
"EG_UPSVA";"%1 레벨 AI 상대 승리"
"EG_UPSVN";"승리"
"EG_UPSVR";"승률(%1)"
"EG_UPSVW";"%1 사용 게임"
"EG_VALUE";"값"
"EG_VICTLVL";"승리 등급"
"EG_WINSTRK";"연승"
"EG_WINS_BO";"(다음 보너스에 영향)"
"EG_score";"(최종 점수: %1 대 %2)"
"EG_xpd";"획득 경험치"
"ENDBKL";"격파 및 손실"
"ENDBOV";"점수"
"ENDBPR";"프로필"
"ENDBXP";"경험치"
"ETG_log";"로그인 정보를 잊으셨습니까?
 아래에 이메일 주소를 입력하고 버튼을 누르면 시스템이 로그인 정보를 전송합니다."
"ETG_pas";"비밀번호를 잊으셨습니까?
아래에 이메일 주소를 입력하고 버튼을 누르십시오.
 복구 코드가 이메일로 전송됩니다."
"FLTDK_ALLY";"NATO"
"FLTDK_AXE";"바르샤바 조약기구"
"FR_ACCEPT";"수락"
"FR_DECLIN";"거절"
"FR_JOIN";"참가"
"FR_REMOVE";"제거"
"GRL_ALRB";"이 맵은 현재 플레이어 수에 비해 지나치게 작습니다.
이 설정은 권장하지 않습니다."
"GRL_ALRT";"알림:"
"GRL_DLCB";"이 맵은 DLC에 포함되어 있습니다."
"GRL_DLCT";"DLC"
"GRL_OBST";"이 게임은 누구나 관전 버튼을 눌러 관전할 수 있습니다."
"GRL_WARB";"이 맵은 현재 플레이어 수에 비해 작습니다.
최적의 게임 경험을 보장할 수 없습니다."
"GRL_WART";"경고:"
"GS_ACCESS";"공개 설정"
"GS_ACCESSB";"로비의 공개 범위를 설정합니다."
"GS_ACCESSE";"공개로 설정하면 모든 플레이어에게 게임이 표시됩니다. 비공개로 설정하면 친구와 초대받은 플레이어만 참가할 수 있습니다."
"GS_BATTLEB";"사용 가능한 목록에서 맵을 선택합니다."
"GS_BATTLEF";"전장"
"GS_CMBRLDB";"전투 규칙을 설정합니다.

정복 모드는 영토 장악을 중시합니다. 각 지휘 구역은 초당 정복 점수를 제공합니다. 정복 점수 목표에 먼저 도달한 진영이 승리합니다.

파괴 모드는 유닛 격파를 중시합니다. 적 유닛을 파괴하면 해당 비용에 따라 파괴 점수를 얻습니다. 파괴 점수 목표에 먼저 도달한 진영이 승리합니다."
"GS_CMBRLDE";"전투 규칙"
"GS_INCOMRA";"수입 배율"
"GS_INCOMRB";"수입 속도를 조정하여 게임의 전반적인 경제 규모를 변경합니다."
"GS_LIGHTEV";"환경"
"GS_LOSSDB";"승리에 필요한 점수(각 팀의 플레이어 1명당)를 설정합니다."
"GS_LOSSDE";"승리 점수"
"GS_LOSSEE";"예를 들어 2,000점으로 설정하고 4 대 4 경기를 진행하면 팀이 승리하려면 8,000점이 필요합니다."
"GS_OPPOSI";"대전 진영"
"GS_OPPOSIB";"대전 구도를 선택합니다:
- NATO 대 PACT
- NATO 대 NATO
- PACT 대 PACT"
"GS_SCORLIB";"게임의 점수 한도를 설정합니다."
"GS_SCORLIM";"점수 한도"
"GS_SPUBLI";"공개로 설정"
"GS_STARTRB";"배치 단계에서 사용할 수 있는 시작 자원의 양을 설정합니다."
"GS_STARTRE";"시작 자원"
"GS_TIMELIB";"게임의 제한 시간을 설정합니다."
"GS_TIMELIM";"제한 시간"
"GS_UPKEEP";"지휘 통제"
"GS_UPKEEPB";"전장에 동시에 배치할 수 있는 유닛 수를 제한하는 설정입니다.
값이 높을수록 새 유닛을 호출할 때마다 수입 제한이 커져 게임의 전술적 성격이 강해집니다.
값이 낮을수록 수입에 미치는 영향이 줄어듭니다. 0%에서는 증원 병력이 수입에 전혀 영향을 주지 않습니다.
우세한 플레이어가 병력을 지나치게 빠르게 축적하는 것을 방지합니다."
"GS_UPKEEPE";"전장에 배치된 각 유닛은 지휘 통제 능력을 낮춥니다. 그 결과 증원 비용에 해당하는 비율만큼 수입이 감소합니다.
참고: LOG 유닛은 유지 비용이 없으며 AIR 유닛은 비용의 절반만 적용됩니다."
"Gametype";"게임 유형"
"HAP_Badge";"신분 배지"
"HAP_Level";"레벨 %1"
"HAP_Merit";"장교 기록"
"HAP_name";"장교 이름"
"HINT_EX_SP";"------------------------------------------------"
"HOST_IND";"[호스트]"
"H_CLOSES";"슬롯 닫기"
"H_KICKP";"플레이어 강퇴"
"HintTL";"타이머가 끝나면 게임이 종료됩니다. 그 전에 한 팀이 승리 점수에 도달하면 즉시 게임이 끝납니다."
"LBY_HIDE";"숨기기"
"LBY_SHOW";"표시"
"LDB_FRNDS";"친구 추가"
"LDB_GRADE";"등급"
"LDB_NAME";"이름"
"LDB_NBPLYR";"플레이어 수: %1"
"LDB_PFL";"프로필 보기"
"LDB_RANK";"계급"
"LOBBYWARN";"특수 규칙:"
"LOBPLAYCO";"%1 / %2"
"LOGIN_CON";"연결 중"
